iter	RMSE
0	18990.09548
1	16372.55713
2	15185.52882
3	14384.08854
4	14156.07997
5	13813.53431
6	13345.43207
7	13161.53752
8	12622.20586
9	12230.43581
10	11864.55849
11	11745.56181
12	11390.77193
13	11255.61144
14	10548.34204
15	10524.96214
16	10323.61713
17	9960.698963
18	9742.831792
19	9650.14888
20	9339.829429
21	8861.800346
22	8771.691027
23	8709.175022
24	8587.967135
25	8437.155482
26	8208.140342
27	8177.411258
28	7917.534066
29	7769.808102
30	7587.93309
31	7429.257742
32	7411.39819
33	7400.462924
34	7218.080839
35	7012.252063
36	7006.64941
37	6759.418011
38	6663.606089
39	6526.115391
40	6502.335609
41	6328.037088
42	6124.386301
43	6070.14938
44	6010.712077
45	5949.78525
46	5877.995307
47	5840.316788
48	5718.781358
49	5659.199988
50	5629.673288
51	5609.193696
52	5562.718432
53	5499.692896
54	5416.443941
55	5351.640843
56	5310.684188
57	5245.163685
58	5184.190714
59	5101.876027
60	5086.817665
61	5044.063837
62	5003.70763
63	4954.943456
64	4863.814516
65	4856.322159
66	4810.008904
67	4738.528502
68	4705.836056
69	4680.349289
70	4678.781114
71	4644.793783
72	4624.14587
73	4595.733511
74	4546.772959
75	4464.636488
76	4456.001264
77	4420.96558
78	4407.742248
79	4372.121328
80	4302.052046
81	4289.99555
82	4288.509542
83	4276.124203
84	4214.58921
85	4191.169884
86	4129.392621
87	4122.920336
88	4121.999196
89	4087.86547
90	4044.574747
91	3977.178728
92	3965.426206
93	3965.095027
94	3906.948454
95	3850.790765
96	3807.143674
97	3735.753056
98	3717.12974
99	3697.304591
100	3605.073407
101	3552.601306
102	3506.471766
103	3497.028806
104	3479.277556
105	3475.45668
106	3436.30729
107	3407.00765
108	3398.701601
109	3362.453927
110	3321.776316
111	3295.567462
112	3258.739753
113	3257.19865
114	3226.827422
115	3218.636539
116	3198.243487
117	3176.35609
118	3151.781794
119	3125.584113
120	3116.723071
121	3084.234281
122	3072.149457
123	3067.987662
124	3062.046553
125	3054.450012
126	2994.687214
127	2966.607035
128	2936.385136
129	2930.490586
130	2906.679657
131	2879.87263
132	2865.618845
133	2856.680037
134	2841.09928
135	2827.896305
136	2811.064507
137	2797.02549
138	2796.22665
139	2751.318169
140	2727.602164
141	2716.408066
142	2701.732946
143	2699.344954
144	2667.686911
145	2645.516284
146	2626.098304
147	2623.600946
148	2606.639402
149	2588.862299
150	2567.652054
151	2563.429754
152	2536.478812
153	2534.570533
154	2521.373619
155	2510.409719
156	2498.559472
157	2494.73363
158	2494.420851
159	2478.097151
160	2472.130722
161	2460.366318
162	2446.500406
163	2442.917239
164	2440.593263
165	2433.042989
166	2429.00363
167	2419.381609
168	2406.000843
169	2398.613775
170	2395.843827
171	2385.432831
172	2378.344295
173	2372.335732
174	2363.971684
175	2363.893918
176	2347.603398
177	2338.792675
178	2338.419223
179	2335.825353
180	2333.198028
181	2308.897615
182	2303.493768
183	2297.198293
184	2285.515287
185	2283.891511
186	2280.71116
187	2279.587839
188	2277.435019
189	2266.576636
190	2259.518658
191	2253.428398
192	2253.338251
193	2250.738787
194	2247.712516
195	2230.563178
196	2229.196898
197	2228.418619
198	2227.598926
199	2224.643819
