iter	Passed	Remaining
0	2	584
1	4	466
2	6	418
3	8	395
4	9	378
5	11	367
6	13	360
7	14	358
8	16	350
9	18	344
10	19	339
11	21	334
12	22	329
13	24	325
14	26	322
15	27	319
16	29	316
17	31	313
18	32	311
19	34	309
20	35	306
21	37	304
22	39	300
23	40	298
24	42	297
25	44	295
26	45	294
27	47	292
28	49	290
29	50	288
30	52	286
31	54	283
32	55	282
33	57	280
34	59	278
35	60	276
36	62	274
37	63	272
38	65	270
39	67	269
40	68	267
41	70	265
42	72	263
43	73	261
44	75	259
45	77	257
46	78	256
47	80	254
48	82	252
49	83	251
50	85	249
51	87	247
52	88	246
53	90	244
54	91	242
55	93	240
56	95	239
57	96	237
58	98	235
59	100	233
60	101	232
61	103	230
62	105	228
63	107	227
64	108	225
65	110	224
66	112	222
67	113	220
68	115	219
69	117	217
70	118	215
71	120	213
72	122	212
73	123	210
74	125	208
75	126	206
76	128	204
77	129	203
78	131	201
79	133	199
80	134	198
81	136	196
82	138	195
83	140	193
84	141	191
85	142	189
86	144	187
87	145	185
88	146	183
89	148	181
90	149	179
91	151	177
92	153	176
93	154	174
94	156	172
95	158	171
96	159	169
97	161	168
98	163	166
99	164	164
100	166	163
101	168	161
102	169	159
103	171	158
104	173	156
105	174	154
106	176	153
107	177	151
108	179	149
109	181	148
110	182	146
111	184	145
112	186	143
113	187	141
114	189	139
115	190	138
116	192	136
117	194	134
118	195	133
119	197	131
120	198	129
121	200	128
122	202	126
123	203	124
124	205	123
125	206	121
126	208	119
127	209	118
128	211	116
129	213	114
130	214	113
131	216	111
132	218	109
133	219	108
134	221	106
135	223	104
136	224	103
137	226	101
138	227	100
139	229	98
140	231	96
141	232	95
142	234	93
143	236	91
144	237	90
145	239	88
146	241	86
147	242	85
148	244	83
149	245	81
150	247	80
151	249	78
152	250	77
153	252	75
154	254	73
155	255	72
156	257	70
157	258	68
158	260	67
159	262	65
160	263	63
161	265	62
162	266	60
163	268	58
164	270	57
165	271	55
166	273	54
167	274	52
168	276	50
169	278	49
170	279	47
171	281	45
172	283	44
173	284	42
174	286	40
175	287	39
176	289	37
177	291	35
178	292	34
179	294	32
180	296	31
181	297	29
182	299	27
183	300	26
184	302	24
185	304	22
186	305	21
187	307	19
188	309	17
189	310	16
190	312	14
191	314	13
192	315	11
193	317	9
194	319	8
195	320	6
196	322	4
197	323	3
198	325	1
199	327	0
